[INFO][2022-06-18T16:18:33.966][log.go:44] _com_request_out||traceid=c0a82bdd62ad8a590568acbb658221b0||spanid=a205a18478629a0f||uri=/service/service_list?page_size=1&page_no=1||method=GET||args=map[]||from=127.0.0.1||response={\"errno\":0,\"errmsg\":\"\",\"data\":{\"total\":6,\"list\":[{\"id\":61,\"service_name\":\"test_https_server\",\"service_desc\":\"测试https服务\",\"load_type\":0,\"service_addr\":\"127.0.0.1:4433/test_https_server\",\"qps\":0,\"qpd\":0,\"total_node\":2}]},\"trace_id\":\"c0a82bdd62ad8a590568acbb658221b0\",\"stack\":null}||proc_time=0.0166305||cspanid=
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_request_in||spanid=a205a150380704bb||uri=/service/service_list?page_size=10&page_no=1||method=GET||args=map[]||body=||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0||cspanid=||from=127.0.0.1
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_mysql_success||sql=SELECT * FROM `gateway_service_info` WHERE is_delete=0 ORDER BY id desc LIMIT 10||rows=6||proc_time=1||FileWithLineNum=/Users/tang/Desktop/go_project/gateway/dao/servic_info.go:35||current_time=2022-06-18 16:19:25||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0||cspanid=||spanid=a205a150380704bb
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_mysql_success||FileWithLineNum=/Users/tang/Desktop/go_project/gateway/dao/servic_info.go:38||rows=1||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0||cspanid=||spanid=a205a150380704bb||sql=SELECT count(*) FROM `gateway_service_info` WHERE is_delete=0 LIMIT 10||proc_time=0||current_time=2022-06-18 16:19:25
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_mysql_success||cspanid=||FileWithLineNum=/Users/tang/Desktop/go_project/gateway/dao/service_http_rule.go:26||rows=1||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0||spanid=a205a150380704bb||sql=SELECT * FROM `gateway_service_http_rule` WHERE `gateway_service_http_rule`.`service_id` = 61||proc_time=0||current_time=2022-06-18 16:19:25
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_mysql_success||FileWithLineNum=/Users/tang/Desktop/go_project/gateway/dao/service_tcp_rule.go:20||rows=0||current_time=2022-06-18 16:19:25||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0||cspanid=||spanid=a205a150380704bb||sql=SELECT * FROM `gateway_service_tcp_rule` WHERE `gateway_service_tcp_rule`.`service_id` = 61||proc_time=7
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_mysql_success||FileWithLineNum=/Users/tang/Desktop/go_project/gateway/dao/service_grpc_rule.go:21||proc_time=5||current_time=2022-06-18 16:19:25||cspanid=||spanid=a205a150380704bb||sql=SELECT * FROM `gateway_service_grpc_rule` WHERE `gateway_service_grpc_rule`.`service_id` = 61||rows=0||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_mysql_success||sql=SELECT * FROM `gateway_service_access_control` WHERE `gateway_service_access_control`.`service_id` = 61||current_time=2022-06-18 16:19:25||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0||spanid=a205a150380704bb||FileWithLineNum=/Users/tang/Desktop/go_project/gateway/dao/service_access_control.go:25||rows=1||proc_time=5||cspanid=
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_mysql_success||rows=1||current_time=2022-06-18 16:19:25||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0||spanid=a205a150380704bb||FileWithLineNum=/Users/tang/Desktop/go_project/gateway/dao/service_load_balance.go:32||sql=SELECT * FROM `gateway_service_load_balance` WHERE `gateway_service_load_balance`.`service_id` = 61||proc_time=0||cspanid=
[INFO][2022-06-18T16:19:25.505][log.go:44] _com_mysql_success||sql=SELECT * FROM `gateway_service_http_rule` WHERE `gateway_service_http_rule`.`service_id` = 60||rows=1||current_time=2022-06-18 16:19:25||traceid=c0a82bdd62ad8a8d9100acbb104dc7b0||FileWithLineNum=/Users/tang/Desktop/go_project/gateway/dao/service_http_rule.go:26||cspanid=||spanid=a205a150380704bb||proc_time=0
